x,y,pitchType,pitchTypeFull,type,Vel,HorzBrk,IndVertBrk,RelX,RelZ,StuffPlus
-0.9391651765,0.4270705592,FA,Fastball,Fastball,94.8,0.8,20.3,-1.7,6.4,103
-0.7985477647,1.032103771,FA,Fastball,Fastball,95.3,-2.3,8.9,-1.6,6.2,80
-0.4189863529,-0.5660569869,SL,Slider,Slider,82,-17.2,-9.2,-1.4,6.2,116
-1.491049412,-1.560499322,SL,Slider,Slider,81.6,-14.4,-3.9,-1.5,6.3,116
2.433783529,0.9192787675,CU,Curveball,Curveball,81.7,-5,-10.8,-1.6,6.3,93
-1.783496471,-0.1820584725,FA,Fastball,Fastball,92.9,-2.4,10.5,-1.9,6.2,74
0.05186527059,0.684476014,FA,Fastball,Fastball,92.3,-1.4,12.3,-1.7,6.2,75
-1.333754824,-0.2449632751,SL,Slider,Slider,82.6,-12.7,-7,-1.8,6.2,107
0.5931345882,1.525883208,FA,Fastball,Fastball,96.1,2.9,9.8,-1.6,6.3,77
0.3165035294,0.1903565279,FA,Fastball,Fastball,96.1,-0.6,11.8,-1.8,6.4,80
0.8511656471,1.042564956,FA,Fastball,Fastball,94.9,0.8,7.8,-1.6,6.2,78
-0.7609101176,0.7476871184,FA,Fastball,Fastball,93,-5.1,5.5,-1.5,6.1,72
-0.8910847059,1.671081785,FA,Fastball,Fastball,95.1,-5.1,6.6,-1.3,6.4,80
-0.2420851765,0.04027545309,SL,Slider,Slider,83.3,-12.1,-7.2,-1.5,6.2,108
-1.363643294,1.106856834,FA,Fastball,Fastball,94.3,-7.8,7,-1.6,6.2,74
0.6615543529,-0.1713707325,CU,Curveball,Curveball,81.2,-10,-11,-1.3,6.2,94
-1.374412235,-0.5696407225,FA,Fastball,Fastball,93,-1.5,5.4,-1.6,6.1,74
0.6709567059,0.9614379272,FA,Fastball,Fastball,93.4,-1.8,11.8,-1.6,6.3,76
2.097698824,0.8619059125,FA,Fastball,Fastball,92.9,1.3,9.4,-1.8,6.3,70
0.2625585882,1.006907551,FA,Fastball,Fastball,93.5,-0.6,8.9,-1.7,6.2,73
-2.247261176,-0.5907102291,FA,Fastball,Fastball,94.3,-7.1,17,-1.7,6.4,92
-0.3557096471,-0.5780768778,FA,Fastball,Fastball,95,-4.9,15,-1.3,6.3,88
-3.010432941,-2.540569857,SL,Slider,Slider,83.5,-19.7,-9.9,-1.4,6.1,127
-2.029849412,-2.714549863,SL,Slider,Slider,82.3,-16.5,-4.2,-1.5,6.3,124
0.2578178824,2.024621315,FA,Fastball,Fastball,93.6,-2.8,7.9,-1.8,6.2,74
-0.3167477647,0.5757446719,SL,Slider,Slider,83.2,-11.2,-7.3,-1.4,6.2,104
-0.09154108235,-0.1489709231,FA,Fastball,Fastball,94.3,-3.7,11.1,-1.5,6.4,78
-0.6331355294,-1.427867749,SL,Slider,Slider,85.8,-11.7,0,-1.4,6.2,124
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
